"ID"	"read"	"sum_len"	"num_seqs"	"min_len"	"avg_len"	"max_len"
"697"	"SRR13938825"	"forward"	200695690	836165	35	240	251
"698"	"SRR13938825"	"reverse"	201051118	836165	35	240.4	251
"699"	"SRR13952811"	"forward"	370072831	1575216	35	234.9	251
"700"	"SRR13952811"	"reverse"	371081079	1575216	35	235.6	251
"701"	"SRR13956578"	"forward"	341432811	1425258	35	239.6	251
"702"	"SRR13956578"	"reverse"	341431930	1425258	35	239.6	251
"703"	"SRR13979422"	"forward"	189583494	1469182	35	129	151
"704"	"SRR13979422"	"reverse"	189992354	1469182	35	129.3	151
"705"	"SRR13988230"	"forward"	294974090	2024360	35	145.7	149
"706"	"SRR13988230"	"reverse"	294930903	2024360	35	145.7	149
"707"	"SRR14029840"	"forward"	342733890	1319522	35	259.7	301
"708"	"SRR14029840"	"reverse"	343806931	1319522	35	260.6	301
"709"	"SRR14035977"	"forward"	193449257	800081	35	241.8	251
"710"	"SRR14035977"	"reverse"	193492584	800081	35	241.8	251
"711"	"SRR14038127"	"forward"	292398678	1045832	35	279.6	301
"712"	"SRR14038127"	"reverse"	292902594	1045832	35	280.1	301
"713"	"SRR14064564"	"forward"	90352840	376265	35	240.1	251
"714"	"SRR14064564"	"reverse"	90022427	376265	35	239.3	251
"715"	"SRR14064565"	"forward"	103864518	430906	35	241	251
"716"	"SRR14064565"	"reverse"	103516253	430906	35	240.2	251
"717"	"SRR14071084"	"forward"	307794488	1271659	35	242	251
"718"	"SRR14071084"	"reverse"	308046889	1271659	35	242.2	251
"719"	"SRR14137903"	"forward"	128688996	862764	35	149.2	151
"720"	"SRR14137903"	"reverse"	128696482	862764	35	149.2	151
"721"	"SRR14160189"	"forward"	253774852	1132275	35	224.1	251
"722"	"SRR14160189"	"reverse"	254246919	1132275	35	224.5	251
"723"	"SRR14160190"	"forward"	231885906	1032139	35	224.7	251
"724"	"SRR14160190"	"reverse"	232597118	1032139	35	225.4	251
"725"	"SRR14182592"	"forward"	222326412	1011888	35	219.7	251
"726"	"SRR14182592"	"reverse"	223438413	1011888	35	220.8	251
"727"	"SRR14200992"	"forward"	184299147	1237565	35	148.9	151
"728"	"SRR14200992"	"reverse"	184298913	1237565	35	148.9	151
"729"	"SRR14240258"	"forward"	275005728	1155696	35	238	301
"730"	"SRR14240258"	"reverse"	276278162	1155696	35	239.1	301
"731"	"SRR14245655"	"forward"	323802683	1332498	35	243	251
"732"	"SRR14245655"	"reverse"	323768826	1332498	35	243	251
"733"	"SRR14245656"	"forward"	333857698	1412996	35	236.3	251
"734"	"SRR14245656"	"reverse"	333935709	1412996	35	236.3	251
"735"	"SRR14270321"	"forward"	195877727	825518	35	237.3	251
"736"	"SRR14270321"	"reverse"	195960589	825518	35	237.4	251
"737"	"SRR14272153"	"forward"	258996244	1071230	35	241.8	251
"738"	"SRR14272153"	"reverse"	259068016	1071230	35	241.8	251
"739"	"SRR14272154"	"forward"	196873985	816950	35	241	251
"740"	"SRR14272154"	"reverse"	196962318	816950	35	241.1	251
"741"	"SRR14272156"	"forward"	340385307	1403705	35	242.5	251
"742"	"SRR14272156"	"reverse"	340512995	1403705	35	242.6	251
"743"	"SRR14272159"	"forward"	224161356	961745	35	233.1	251
"744"	"SRR14272159"	"reverse"	224295290	961745	35	233.2	251
"745"	"SRR14276910"	"forward"	296489860	1242583	35	238.6	251
"746"	"SRR14276910"	"reverse"	296183273	1242583	35	238.4	251
"747"	"SRR14286873"	"forward"	232519827	979540	35	237.4	251
"748"	"SRR14286873"	"reverse"	232942836	979540	35	237.8	251
"749"	"SRR14300124"	"forward"	235583231	973835	35	241.9	251
"750"	"SRR14300124"	"reverse"	235656902	973835	35	242	251
"751"	"SRR14300311"	"forward"	199599298	824631	35	242	251
"752"	"SRR14300311"	"reverse"	199655142	824631	35	242.1	251
"753"	"SRR14308533"	"forward"	277194644	1525409	35	181.7	251
"754"	"SRR14308533"	"reverse"	278221800	1525409	35	182.4	251
"755"	"SRR14308540"	"forward"	246899881	1106414	35	223.2	251
"756"	"SRR14308540"	"reverse"	247255508	1106414	35	223.5	251
"757"	"SRR14310547"	"forward"	106510663	443422	35	240.2	251
